0,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
0,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
0,Still 3 more days until my Internet gets uncapped 
0,"@louie094: shooting!?!! be careful, luisa "
0,need to sleep. but cant 
0,"Another early morn with the Duchess, although she hadn't managed to cross her legs this time "
0,@MissxMarisa haven't heard from Hannah at all yet!! it's very disappointing 
0,@TheBlondeTheory  ditch in another parish. Some really sick people in this world. 
0,Needs the motivation to get dressed and go to work I hate training 
0,I need to go out but I am so lazy. 
0,Caught myself looking up the iphone. Promised I wouldn't torcher myself as I still have 6 months left on my current contract 
0,my facebook is Fucked. 
0,i think i have tonsillitis 
0,Borning - thats me with a cold virus - all bunged up and eyes all squinty...bah 
0,I am scheduled to be very productive on a few hrs and I still can not sleep.   Insomia has gotten to me..
0,will probably be in Scotland next week.  http://plurk.com/p/n0ivz
0,"Just woke up, tiresome times "
0,y isnt it as sunny as yesterday 
0,"@redtoffee Strawberry is the absolute best Angel Delight EVA!  I had chocolate once, but it was too sweet. "
0,I just found out I was unsuccessful in applying for the Hampshire Probation job  #fb
0,@babyvtec geez it's so late for you!! Good luck at work tomorrow  I am soooo knackered too. Love you!
0,"so much for my roast tonight, still frozen solid. "
0,@cincincintya my seed is on the verge of death!  thinking of what seedling i can plant to replace
0,why isn't the hills available online yet?? soo disappointing 
0,"mmmm chocolate cupcake.... This is all Lorraine Kelly's fault you know, her and her cakestand full of cupcakes.. I'm getting hooked "
0,@kymhuynh hahaha yeah I laughed all the way until the end when he was sick 
0,have got a slight hangover 
0,"@marcofrissen Pine with IMAP is slow with gmail, and the inbox gets closed from time to time, big hassle "
0,tonight i am staying at my dads and then i cant go 9on the computer!!! 
0,@mikeboyd  anyway if they go... i hope there will be a caffine replacement in that area 
0,"it's snowing.. in april. ugh, sometimes i hate pittsburgh. i miss la  "
0,Lets hit the showers Tweets...can't have you stinking up the place!  Oh wait- that's me  
0,The most boring dinner ever! i hate being stuck in the house wanting nice food and not having any!! sulky mood coming up 
0,"@JoanneSkywalker It's really depressing!!! It teases me, by working fine up until I try to save the people I created. What the hell! AHH! "
0,@chaddyp that movie is so sad! 
0,bummed that I forgot to go to Wal-Mart this morning at 5am on my way to work to get the new RF CD! UG! Guess I'll go on my way home 
0,cant believe i'm sick again. 
0,I though groups of Google Apps were something like Google groups (groups.google.com) 
0,@ibnpolitics what has the country come to? Just b/c they do that in iraq that doesn't mean we do it  sad day
0,@Schofe http://twitpic.com/2yd1o - this one isn't anywhere near as comfy 
0,@Merlin_NY I'm looking for it myself.  More rain in the forecast for later too 
0,Go to class??.... Or study.... 
0,"@catchthesunx regan, but it should be  we are alive in australia. we is dedicated."
0,Spring break isn't as fun as I had wished it was going to be. 
0,@tokiwartooth Sorry to hear that sweetie. 
0,I remember like it was yesterday .. I miss you 
0,"@AlisonL There's really a group like that? They should blend the two words together to form � Knitter! Oh wait, I guess that's normal. "
0,@lenejohansen I had to reschedule bc a throat infection kept me home yesterday 
0,"Happy and sad, I don't have to go into work until 3:25 today, but I miss out on my 12 Asian kids on a bus route. "
0,there woz summin rng with tht cream egg 
0,is still sore from K1 
0,I gotta check out that new eminem song everyone is talking about.He's getting some bad reviews by Twitterville that i hope isnt true 
0,@Alisha4FaceTime hey girl!!!  I'm sorry you still don't feel better 
0,Wanting to put a pic on my profile but don't know how with my phone 
0,for the love of RAAAY J .. neck RELLE hurts. jeeezelaweeeze 
0,but it walked on my pillow 
0,@FollowActive if t woulda got my ticket  that rotten mudasucka..
0,"@mundoo Sorry to hear that  But congratulations on the rain a few hours ago! If it helps, my lawn is just a dust bowl."
0,@Venus00 at riot room waiting for the hot wife of fohp's guitar player 
0,@CHELLETASTIC 
